frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,24478972.198908,543969.000000,24.103942
4,25555826.223912,550197.000000,419173.231161
8,24695271.083748,544682.000000,585390.375464
16,25408745.076698,547734.000000,868139.337775
32,26343410.513752,553696.000000,954910.937676
64,24709429.034572,540523.000000,1373736.761264
128,25442565.739346,545547.000000,1457722.510875
256,25964865.607579,554263.000000,1643464.426048
512,26114792.331850,550540.000000,2309869.712520
1024,25609741.543199,536463.000000,5984922.081872
2048,25049120.035236,545346.000000,3696354.109128
4096,28943361.860573,569250.000000,3595389.943994
8192,26690012.754273,582054.000000,5005623.932182
16384,33910856.263270,617872.000000,5204934.405753
32768,37988771.374116,651638.000000,19792727.591767
65536,33281889.545548,600215.000000,22241357.814379
