frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,25710652.080001,549140.000000,488096.160311
4,24809636.401249,544477.000000,722631.781271
8,25066641.369596,546218.000000,475081.924579
16,25848024.628316,552785.000000,515562.603815
32,24781795.163293,536096.000000,913879.319541
64,25580900.267598,548101.000000,1306671.163776
128,24996204.075079,539976.000000,1746525.260647
256,25095346.564502,538914.000000,2644086.080873
512,26957702.194413,556125.000000,1914503.357634
1024,25005373.556469,530586.000000,3909844.749993
2048,27272810.432663,558369.000000,3789932.103302
4096,28298407.716243,566950.000000,10419120.124582
8192,20427952.248139,469565.000000,6752646.067785
16384,22384207.398971,497489.000000,11281087.469390
32768,23575356.297137,462326.000000,13724995.609421
65536,27291769.446803,517306.000000,9898824.470418
