frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,24937306.025900,547618.000000,563079.710900
4,25114407.744681,546858.000000,423176.538520
8,24864038.328262,549731.000000,298312.533659
16,25040358.428615,551443.000000,657533.850351
32,26343557.639162,555529.000000,693276.035438
64,25692952.658109,551102.000000,1184090.891315
128,26990271.414353,559510.000000,1595132.678507
256,24030132.756243,533586.000000,982577.116919
512,24894040.903507,539333.000000,1586726.720960
1024,27793184.231762,566763.000000,7041683.010841
2048,25689368.993244,524437.000000,5526528.190095
4096,21642786.042360,478030.000000,6865506.037959
8192,24976836.492195,513352.000000,6000933.088647
16384,14418046.680624,382243.000000,4790010.994570
32768,30803908.856349,595385.000000,14427825.524111
65536,39548733.411302,685823.000000,23596988.294879
