arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,504951.7661915839
22.0,4.639,32768,926656.0171654852
22.0,5.649,4096,1452559.7385085407
22.0,7.918,512,2650818.725691178
22.0,16.772,64,6653396.586092625
