arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,1180763.3042938793
26.0,4.639,32768,517049.4191100112
26.0,5.649,4096,660776.0854086655
26.0,7.918,512,1665310.727073179
26.0,16.772,64,4348532.313422771
