arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,556462.8881758424
22.0,4.639,32768,793408.224773981
22.0,5.649,4096,1451233.9959648133
22.0,7.918,512,3231561.5182799785
22.0,16.772,64,6330271.918535096
