arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
34.0,4.073,262144,8478341.921768371
34.0,4.639,32768,226739.27071638915
34.0,5.649,4096,100643.76594205922
34.0,7.918,512,64134.823707561554
34.0,16.772,64,50427.69460326339
