arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
40.0,4.073,262144,1417089.1677615067
40.0,4.639,32768,365166.8066322568
40.0,5.649,4096,122975.5742047989
40.0,7.918,512,28057.56755315756
40.0,16.772,64,17639.74554805142
