arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
30.0,4.073,262144,476428.33878034586
30.0,4.639,32768,565038.4978132021
30.0,5.649,4096,1102802.6528286918
30.0,7.918,512,1278697.711294972
30.0,16.772,64,5587279.593853345
