arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
22.0,4.073,262144,849943.9092434277
22.0,4.639,32768,2594737.0521960407
22.0,5.649,4096,4527873.616329744
22.0,7.918,512,8779312.103736032
22.0,16.772,64,18482936.54626242
