arrival_rate,bp_parameter_L,bp_parameter_H
38.0,4.073,262144,131299.02349979608
38.0,4.639,32768,193893.1122964403
38.0,5.649,4096,101115.80609380513
38.0,7.918,512,23659.950232407507
38.0,16.772,64,13626.003706149504
