arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
24.0,4.073,262144,1396017.2615974345
24.0,4.639,32768,1605428.351132806
24.0,5.649,4096,3126382.8654211564
24.0,7.918,512,6648378.005165395
24.0,16.772,64,16187819.528126048
