arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,703022.3273673462
20.0,4.639,32768,1486470.7784981849
20.0,5.649,4096,1737306.9361442728
20.0,7.918,512,3601101.382245021
20.0,16.772,64,7324923.787727897
