arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,312826.19135711767
28.0,4.639,32768,609716.1541848797
28.0,5.649,4096,541445.4964767921
28.0,7.918,512,1092136.660673471
28.0,16.772,64,3038174.3582961136
