arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
26.0,4.073,262144,508609.5693712418
26.0,4.639,32768,1514346.9580849034
26.0,5.649,4096,2047771.9037790806
26.0,7.918,512,5383231.954351493
26.0,16.772,64,13493321.433171486
