arrival_rate,bp_parameter_L,bp_parameter_H
22.0,4.073,262144,280323.8718054529
22.0,4.639,32768,688533.6447313232
22.0,5.649,4096,1467819.6977152883
22.0,7.918,512,3195801.028501149
22.0,16.772,64,6623287.0882905265
