arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
28.0,4.073,262144,1714680.9466740452
28.0,4.639,32768,1427942.5556068423
28.0,5.649,4096,1531147.5895918722
28.0,7.918,512,3724569.234717486
28.0,16.772,64,9826295.79082637
