arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
38.0,4.073,262144,6268337.278460294
38.0,4.639,32768,397695.02024164196
38.0,5.649,4096,133698.39805323025
38.0,7.918,512,38234.87194956981
38.0,16.772,64,22213.847955723475
