arrival_rate,bp_parameter_L,bp_parameter_H
20.0,4.073,262144,607880.582381112
20.0,4.639,32768,2434028.150367822
20.0,5.649,4096,1718477.878763937
20.0,7.918,512,3284964.870522819
20.0,16.772,64,7232918.121789434
