arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
26.0,4.073,262144,801305.3405213271
26.0,4.639,32768,828101.0360904037
26.0,5.649,4096,2075978.9079390955
26.0,7.918,512,5577752.6676295
26.0,16.772,64,12672589.933537934
