arrival_rate,bp_parameter_L,bp_parameter_H
38.0,4.073,262144,350379.87116699497
38.0,4.639,32768,681635.162219497
38.0,5.649,4096,62344.50521898462
38.0,7.918,512,24564.590715092323
38.0,16.772,64,19653.288732423385
