arrival_rate,bp_parameter_L,bp_parameter_H
36.0,4.073,262144,2557418.2019544635
36.0,4.639,32768,648026.66770589
36.0,5.649,4096,111901.70169394209
36.0,7.918,512,36167.73021631299
36.0,16.772,64,22754.469648840422
