arrival_rate,bp_parameter_L,bp_parameter_H
34.0,4.073,262144,1509265.027590582
34.0,4.639,32768,156974.28846470368
34.0,5.649,4096,102265.06532535928
34.0,7.918,512,46387.05340932964
34.0,16.772,64,33709.7860420383
