arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
22.0,4.073,262144,1011169.7081430001
22.0,4.639,32768,2396240.4178712955
22.0,5.649,4096,4093926.070583591
22.0,7.918,512,8129768.612176549
22.0,16.772,64,18736997.35708782
