arrival_rate,bp_parameter_L,bp_parameter_H
30.0,4.073,262144,1174519.128524521
30.0,4.639,32768,496752.51708874106
30.0,5.649,4096,686168.3877438541
30.0,7.918,512,629963.3828795131
30.0,16.772,64,1458500.2996921188
