arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
28.0,4.073,262144,1033268.1985476955
28.0,4.639,32768,664078.2148858672
28.0,5.649,4096,1420151.910048006
28.0,7.918,512,2730364.0111314827
28.0,16.772,64,9424198.36691185
