arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,336554.3104760359
28.0,4.639,32768,153517.29660204417
28.0,5.649,4096,669822.4297737423
28.0,7.918,512,1013271.4777319058
28.0,16.772,64,3119088.772170488
