arrival_rate,bp_parameter_L,bp_parameter_H
40.0,4.073,262144,1188194.1225456386
40.0,4.639,32768,594952.9603985512
40.0,5.649,4096,53532.332416960875
40.0,7.918,512,19714.577195567752
40.0,16.772,64,13011.818704547031
