arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
28.0,4.073,262144,2477664.2540495675
28.0,4.639,32768,1047717.5159101809
28.0,5.649,4096,1171107.4034869731
28.0,7.918,512,3687766.525401113
28.0,16.772,64,9642935.716322701
