arrival_rate,bp_parameter_L,bp_parameter_H
28.0,4.073,262144,2060671.3734508955
28.0,4.639,32768,506524.4510307474
28.0,5.649,4096,226883.58592899574
28.0,7.918,512,977692.442740047
28.0,16.772,64,3231320.190576291
