arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
20.0,4.073,262144,1467999.3497610958
20.0,4.639,32768,3617335.6107481928
20.0,5.649,4096,5207300.19978693
20.0,7.918,512,10041836.813677516
20.0,16.772,64,20693972.216756478
