arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
22.0,4.073,262144,1300795.1445262241
22.0,4.639,32768,1801928.7446858159
22.0,5.649,4096,4122681.4404663867
22.0,7.918,512,8522274.627317462
22.0,16.772,64,18560941.22271387
