arrival_rate,bp_parameter_L,bp_parameter_H
26.0,4.073,262144,203872.567328221
26.0,4.639,32768,598547.3030513127
26.0,5.649,4096,843099.2309663199
26.0,7.918,512,1892910.703898364
26.0,16.772,64,4706737.99410186
