arrival_rate,bp_parameter_L,bp_parameter_H
30.0,4.073,262144,4008112.7948213983
30.0,4.639,32768,724576.9598634779
30.0,5.649,4096,286899.4141559024
30.0,7.918,512,557728.2715265562
30.0,16.772,64,1594365.104745146
