arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
36.0,4.073,262144,1113082.3614400688
36.0,4.639,32768,661773.2394536666
36.0,5.649,4096,115178.08443015537
36.0,7.918,512,40862.41478424886
36.0,16.772,64,45765.51513967695
