frequency,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
4,298183.918106,21785.000000,298183.918106,21785.000000,298183.918106,21785.000000,298183.918106,21785.000000,298183.918106,21785.000000,298183.918106,21785.000000
64,846067.491877,21651.000000,846067.491877,21651.000000,846067.491877,21651.000000,846067.491877,21651.000000,846067.491877,21651.000000,846067.491877,21651.000000
2,522477.695133,24346.000000,522477.695133,24346.000000,522477.695133,24346.000000,522477.695133,24346.000000,522477.695133,24346.000000,522477.695133,24346.000000
65536,785973.885047,27103.000000,785973.885047,27103.000000,785973.885047,27103.000000,785973.885047,27103.000000,785973.885047,27103.000000,785973.885047,27103.000000
128,1180745.805736,25556.000000,1180745.805736,25556.000000,1180745.805736,25556.000000,1180745.805736,25556.000000,1180745.805736,25556.000000,1180745.805736,25556.000000
8,640545.789908,14031.000000,640545.789908,14031.000000,640545.789908,14031.000000,640545.789908,14031.000000,640545.789908,14031.000000,640545.789908,14031.000000
16,743891.446457,24748.000000,743891.446457,24748.000000,743891.446457,24748.000000,743891.446457,24748.000000,743891.446457,24748.000000,743891.446457,24748.000000
8192,1263841.707546,21650.000000,1263841.707546,21650.000000,1263841.707546,21650.000000,1263841.707546,21650.000000,1263841.707546,21650.000000,1263841.707546,21650.000000
256,1284971.416616,20050.000000,1284971.416616,20050.000000,1284971.416616,20050.000000,1284971.416616,20050.000000,1284971.416616,20050.000000,1284971.416616,20050.000000
512,710288.947502,13857.000000,710288.947502,13857.000000,710288.947502,13857.000000,710288.947502,13857.000000,710288.947502,13857.000000,710288.947502,13857.000000
32,850835.756740,22575.000000,850835.756740,22575.000000,850835.756740,22575.000000,850835.756740,22575.000000,850835.756740,22575.000000,850835.756740,22575.000000
2048,838744.135519,19188.000000,838744.135519,19188.000000,838744.135519,19188.000000,838744.135519,19188.000000,838744.135519,19188.000000,838744.135519,19188.000000
1024,1207419.142772,24426.000000,1207419.142772,24426.000000,1207419.142772,24426.000000,1207419.142772,24426.000000,1207419.142772,24426.000000,1207419.142772,24426.000000
16384,1121815.807016,24038.000000,1121815.807016,24038.000000,1121815.807016,24038.000000,1121815.807016,24038.000000,1121815.807016,24038.000000,1121815.807016,24038.000000
32768,1975703.977856,27906.000000,1975703.977856,27906.000000,1975703.977856,27906.000000,1975703.977856,27906.000000,1975703.977856,27906.000000,1975703.977856,27906.000000
4096,1380621.351574,24367.000000,1380621.351574,24367.000000,1380621.351574,24367.000000,1380621.351574,24367.000000,1380621.351574,24367.000000,1380621.351574,24367.000000
