frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
32768,353865.775480,353857.127101,353855.514306,353855.514306,353857.127101,353855.514306
2,350339.565035,350339.565035,350339.565035,350339.565035,350339.565035,350339.565035
4096,367442.267721,367507.332177,367507.332177,367507.332177,367507.332177,367507.332177
65536,677366.469547,677366.457104,677366.457104,677366.457104,677366.457104,677366.457104
4,525821.157256,525821.157256,525821.157256,525821.157256,525821.157256,525821.157256
8,418317.502352,418317.502352,418317.502352,418317.502352,418317.502352,418317.502352
8192,564347.489568,564330.508376,563745.606487,563745.606487,563745.606487,563745.606487
16,650887.131620,650887.131620,650887.131620,650887.131620,650887.131620,650887.131620
128,999050.257886,999050.257886,999050.257886,999050.257886,999050.257886,999050.257886
64,904288.685224,904288.685224,904288.685224,904288.685224,904288.685224,904288.685224
32,986679.942770,986679.942770,986679.942770,986679.942770,986679.942770,986679.942770
256,746632.597056,746632.597056,746632.597056,746632.597056,746632.597056,746632.597056
1024,1297370.517639,1297343.097518,1297343.097518,1297343.097518,1297343.097518,1297343.097518
512,1350190.413895,1350190.413895,1350190.413895,1350190.413895,1350190.413895,1350190.413895
16384,1921779.239460,1921779.239460,1921779.239460,1921779.239460,1921779.239460,1921779.239460
2048,1932803.470984,1934413.153769,1934413.153769,1934413.153769,1934413.153769,1934413.153769
