arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
22,8.500000,262144,6766135.080415
22,9.800000,32768,9512063.622670
22,12.400000,4096,13539647.476581
22,18.900000,512,23157874.761816
22,56.300000,64,39154541.952091
22,60.000000,12,37920480.125138
22,60.000000,18,35989716.921520
22,60.000000,24,34124237.734439
