arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
36,8.500000,262144,3001307.830390
36,9.800000,32768,4282152.652790
36,12.400000,4096,7477454.508416
36,18.900000,512,15852954.189859
36,56.300000,64,25872952.568884
36,60.000000,12,24713230.628453
36,60.000000,18,24325980.913973
36,60.000000,24,23353279.385615
