arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
20,4.073000,262144,636573.498064
20,4.639000,32768,1420809.745633
20,5.649000,4096,2826280.333011
20,7.918000,512,5347155.771228
20,16.772000,64,9830920.189805
20,30.000000,6,11045223.202879
20,30.000000,9,10191395.787558
20,30.000000,12,10153385.724219
