arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
24,4.073000,262144,408065.675690
24,4.639000,32768,700629.789246
24,5.649000,4096,1726084.205059
24,7.918000,512,3320140.042706
24,16.772000,64,6039158.509272
24,30.000000,6,6689534.310202
24,30.000000,9,6892345.987484
24,30.000000,12,6841759.762937
