arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
30,4.073000,262144,493554.379989
30,4.639000,32768,86768.702774
30,5.649000,4096,196867.886018
30,7.918000,512,207540.380093
30,16.772000,64,336149.640116
30,30.000000,6,747407.297534
30,30.000000,9,610905.620058
30,30.000000,12,536720.330932
