arrival_rate,bp_parameter_L,bp_parameter_H,MLFQ_L2_norm_flow_time
22,4.073000,262144,105445.014334
22,4.639000,32768,599808.971822
22,5.649000,4096,2291706.961072
22,7.918000,512,4120884.584613
22,16.772000,64,7823948.836695
22,30.000000,6,9048673.243685
22,30.000000,9,8170208.200886
22,30.000000,12,8198496.567391
