frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,5671221.372709,46887.000000
4,3015402.233845,25202.000000
8,271703812.762623,2298569.000000
16,286366104.895394,2480769.000000
32,149651315.472449,1395072.000000
64,141282943.699986,1221423.000000
128,135014884.500092,1172999.000000
256,7598248.050343,73312.000000
512,265588349.861134,2325857.000000
1024,138686090.814124,1224574.000000
2048,148711019.732948,1267719.000000
4096,13577500.283468,127594.000000
8192,147389370.380845,1288967.000000
16384,140353559.694266,1218076.000000
32768,271001095.093469,2360139.000000
65536,145366278.291365,1242119.000000
