frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,128704981.151150,1134829.000000
4,2850551.319362,39786.000000
8,148827548.421124,1337781.000000
16,5245230.310192,84149.000000
32,289085528.402462,2413851.000000
64,136260304.524978,1182218.000000
128,1044869.957017,16041.000000
256,16240141.282080,122352.000000
512,307341171.746607,2563671.000000
1024,148416161.788756,1278820.000000
2048,291979179.009747,2456445.000000
4096,162200870.802567,1458574.000000
8192,269464210.386311,2296448.000000
16384,7157342.874204,75460.000000
32768,6334223.852461,75640.000000
65536,282763913.188357,2467778.000000
