frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,267659601.468897,2361535.000000
4,270151599.665751,2455306.000000
8,149488076.343460,1247751.000000
16,148369999.998501,1303616.000000
32,279982686.934883,2388916.000000
64,8763965.433576,84896.000000
128,299141751.727179,2553144.000000
256,133556778.916291,1159534.000000
512,286495775.254834,2471671.000000
1024,3445453.467164,32323.000000
2048,280916615.720918,2389948.000000
4096,4898387.024799,44640.000000
8192,287742987.927990,2500954.000000
16384,281951552.128821,2493081.000000
32768,274359182.096529,2420154.000000
65536,154252950.547134,1339125.000000
