frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,142608864.373534,1239539.000000
4,6496015.033698,80368.000000
8,159705111.445502,1329447.000000
16,6420437.167645,47937.000000
32,2469408.961366,26371.000000
64,268971289.299078,2324764.000000
128,144325252.767310,1264807.000000
256,134233477.896282,1167504.000000
512,144643906.042371,1236945.000000
1024,141903863.096176,1259446.000000
2048,3644249.832930,30816.000000
4096,8474190.755960,90969.000000
8192,278754191.274922,2417448.000000
16384,150310393.268855,1280681.000000
32768,15419148.776525,157905.000000
65536,15948416.916936,112373.000000
