frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,134989452.020060,1171388.000000
4,3515427.471514,33983.000000
8,260337424.845197,2298149.000000
16,272790871.608224,2333316.000000
32,6559518.489527,59865.000000
64,10798263.062375,107807.000000
128,16789211.846997,160713.000000
256,4909600.871845,74073.000000
512,278482184.490242,2376235.000000
1024,156504112.246724,1343741.000000
2048,5207044.891755,42372.000000
4096,139887415.564901,1224385.000000
8192,291447263.858758,2480003.000000
16384,313175500.613064,2660546.000000
32768,12492152.914989,144408.000000
65536,152635974.064893,1275152.000000
