frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,126353708.441579,1121283.000000
4,260095365.532830,2247140.000000
8,3868591.360876,48599.000000
16,142620842.602274,1294763.000000
32,151320596.293480,1353050.000000
64,13603285.505513,136624.000000
128,7564712.022433,56015.000000
256,149582551.993212,1280040.000000
512,11142023.556829,92869.000000
1024,158542751.266765,1355106.000000
2048,150302729.910833,1263850.000000
4096,143651964.656798,1247791.000000
8192,130829338.490735,1153822.000000
16384,324437144.053690,2671316.000000
32768,16445987.530704,128866.000000
65536,301795450.358970,2569797.000000
