frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,295481289.550403,2494564.000000
4,9942753.156397,74386.000000
8,132342980.231474,1154687.000000
16,272165921.323357,2332332.000000
32,279205352.734791,2408005.000000
64,144812118.290251,1251293.000000
128,8658109.376444,63491.000000
256,12093304.500092,130793.000000
512,140466636.386398,1245569.000000
1024,2653710.692754,21577.000000
2048,293172737.873318,2495694.000000
4096,7741801.760916,73469.000000
8192,268578329.886890,2379718.000000
16384,22781433.372340,156318.000000
32768,138162451.881426,1112409.000000
65536,14605318.006709,136575.000000
