frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,139123391.248764,1229502.000000
4,146589233.869265,1298244.000000
8,151009103.139585,1279818.000000
16,4618590.245580,47666.000000
32,280751045.420214,2388935.000000
64,271929262.700157,2365162.000000
128,140282913.900809,1221048.000000
256,289574477.596169,2484365.000000
512,20457923.390325,149522.000000
1024,139732316.409830,1258664.000000
2048,13798274.675210,109960.000000
4096,11413903.023280,118425.000000
8192,279409624.221148,2441013.000000
16384,135466903.776205,1173751.000000
32768,272952205.523769,2345902.000000
65536,285523967.643450,2475124.000000
