frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,11507021.946963,139973.000000
4,148131544.989371,1280894.000000
8,312019334.291133,2828037.000000
16,306881122.908651,2613669.000000
32,269459308.407156,2305118.000000
64,151475945.022861,1296411.000000
128,273649640.703841,2370648.000000
256,150351725.123945,1279445.000000
512,8894354.641795,124435.000000
1024,153315408.420907,1311393.000000
2048,280775584.661676,2505301.000000
4096,3097657.145852,38921.000000
8192,283284932.582563,2434552.000000
16384,154905531.290899,1387659.000000
32768,137975754.035995,1213997.000000
65536,294988217.791272,2547419.000000
