frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time
2,6077319.962366,50002.000000
4,289054360.611177,2479368.000000
8,137230354.901807,1154160.000000
16,286692059.067912,2461090.000000
32,2477404.664489,26849.000000
64,144243549.760292,1275108.000000
128,294104762.695962,2573200.000000
256,5463189.187030,65656.000000
512,9568129.274174,91493.000000
1024,4081964.713405,35227.000000
2048,150517407.267388,1327459.000000
4096,144430569.894636,1224860.000000
8192,281002936.943004,2391498.000000
16384,8423244.652158,85679.000000
32768,10809173.501473,95274.000000
65536,282194823.394807,2444226.000000
