batch,Dynamic,Dynamic_BAL,RFDynamic
1,5816.1739,5816.1739,3367.7038
2,6839.9701,6839.9701,5809.4553
3,5293.3669,5293.3669,5293.3669
4,7048.3921,7048.3921,7048.3921
5,8470.4954,8470.4954,8470.4954
6,11012.8339,11012.8339,11012.8339
7,16524.4461,16524.4461,16524.4461
8,16074.5254,16074.5254,16074.5254
9,16190.9240,16190.9240,16190.9240
10,18148.0704,18148.0704,18148.0704
11,20151.2139,20151.2139,20151.2139
12,21485.6452,21485.6452,21485.6452
13,21305.9853,21305.9853,21305.9853
14,20358.6628,20358.6628,20358.6628
15,23555.7478,23555.7478,23555.7478
16,27492.7989,27492.7989,27492.7989
17,28259.1120,28259.1120,28259.1120
18,24972.1656,24972.1656,24972.1656
19,27156.9072,27156.9072,27156.9072
20,26840.8898,26840.8898,26840.8898
21,28474.9406,28474.9406,28474.9406
22,33289.8078,33289.8078,33289.8078
23,30009.9842,30009.9842,30009.9842
24,30671.4849,30671.4849,30671.4849
25,30467.5126,30467.5126,30467.5126
26,26772.7089,26772.7089,26772.7089
27,30525.8127,30525.8127,30525.8127
28,31465.5229,31465.5229,31465.5229
29,32878.5435,32878.5435,32878.5435
30,33011.8153,33011.8153,33011.8153
31,31970.3991,31970.3991,31970.3991
32,36347.8479,36347.8479,36347.8479
33,34406.6534,34406.6534,34406.6534
34,36471.4504,36471.4504,36471.4504
35,40267.8822,40267.8822,40267.8822
36,39874.7542,39874.7542,39874.7542
37,40683.1566,40683.1566,40683.1566
38,44856.7528,44856.7528,44856.7528
39,47178.0766,47178.0766,47178.0766
40,49285.7234,49285.7234,49285.7234
41,52029.8697,52029.8697,52029.8697
42,52987.2773,52987.2773,52987.2773
43,53252.8087,53252.8087,53252.8087
44,55711.4675,55711.4675,55711.4675
45,57008.8303,57008.8303,57008.8303
46,54853.4277,54853.4277,54853.4277
47,56808.2839,56808.2839,56808.2839
48,61849.7215,61849.7215,61849.7215
49,62810.5943,62810.5943,62810.5943
50,62223.2576,62223.2576,62223.2576
51,66276.9742,65656.5713,64177.7857
52,119906.4494,116850.7218,108834.3365
53,97966.1134,94978.4180,100240.4576
54,69559.1779,68133.4665,93001.7714
55,45817.3559,49375.9806,91538.6114
56,27214.6953,29878.8177,81931.3608
57,2478.7686,2479.0222,44676.4871
58,2186.2292,2186.2292,24657.1649
59,13823.7996,13823.7996,22827.7386
60,2431.7777,2431.7777,5129.2025
61,3716.8390,3716.8390,1207.2175
62,4135.4364,4135.4364,2762.0876
63,3329.5160,3329.5160,5872.9146
64,9887.9185,9887.9185,9613.2289
65,6026.1883,6026.1883,858.6775
66,7090.3953,7090.3953,1016.4099
67,911.4774,911.4774,438.3115
68,3927.1103,3927.1103,2978.6071
69,3787.2087,3787.2087,3760.5466
70,3624.3780,3624.3780,385.3271
71,742.7355,742.7355,663.8193
72,301.8841,301.8841,358.5694
73,432.8152,432.8152,558.1881
74,765.6572,765.6572,851.1134
75,1501.6937,1501.6937,977.8466
76,365.4271,365.4271,579.1295
77,12064.7849,12064.7849,6542.1981
78,3171.8608,3171.8608,819.8927
79,857.6509,857.6509,555.8381
80,386.4350,386.4350,413.8780
81,838.1766,838.1766,697.8445
82,1485.1842,1485.1842,1641.0265
83,1002.5438,1002.5438,1242.8765
84,1057.9069,1057.9069,1366.1395
85,2023.6341,2023.6341,2473.1312
86,1881.8658,1881.8658,1605.4383
87,2037.0054,2037.0054,1925.1208
88,403.9790,403.9790,456.3748
89,1118.8253,1118.8253,1366.0359
90,1715.4186,1715.4186,1148.7206
91,4408.7586,4408.7586,11012.9679
92,18725.0901,18725.0901,1349.7263
93,3927.8475,3927.8475,1831.2403
94,3310.3663,3310.3663,1252.0847
95,839.0846,839.0846,954.5931
96,1875.5596,1875.5596,1764.1290
97,1343.1515,1343.1515,1431.9204
98,1827.8203,1827.8203,1404.7505
99,530.8672,530.8672,468.5221
100,3339.1423,3339.1423,4302.1271
