frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,17682459.384755,306877.000000,574218.504807
4,351447.528004,5987.000000,10788.333282
8,605057.571913,10204.000000,16727.828700
16,732758.166993,11637.000000,18328.026135
32,729899.105278,14088.000000,9365.084890
64,965553.118457,15781.000000,16464.057914
128,35700910.221312,620041.000000,3785460.119434
256,35353594.990930,613995.000000,4232585.299669
512,18092688.289808,314195.000000,782386.836355
1024,18561264.645133,317530.000000,2322202.623950
2048,1466128.990149,25662.000000,65885.910611
4096,18299619.828389,320018.000000,5531210.780934
8192,35112239.505649,614450.000000,7866347.808441
16384,1684338.104822,28647.000000,694425.018091
32768,14679340.187771,258270.000000,1808216.431044
65536,16775586.385434,298043.000000,0.000000
