frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,34543473.506814,601736.000000,1423555.274722
4,18113402.955439,313139.000000,988020.201559
8,17685216.992392,308069.000000,1043081.527959
16,35542667.948758,610837.000000,352275.840673
32,18260611.531938,314261.000000,35604.137035
64,830540.222756,14649.000000,4378.230236
128,35302335.924385,612673.000000,1900801.349992
256,1060531.846139,19880.000000,10574.385183
512,18513183.392630,320423.000000,3657899.473183
1024,35927483.053516,621822.000000,4356719.950669
2048,35918568.349050,621410.000000,1797603.681715
4096,18605823.333717,326798.000000,6606840.760316
8192,20121770.474425,346232.000000,9335291.474052
16384,19538524.501770,326608.000000,3844185.494220
32768,33713500.093921,588812.000000,13874761.137735
65536,21876407.093211,372541.000000,17953273.462351
