frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,34980073.503495,603046.000000,74199.002945
4,17547401.998889,303971.000000,582815.264730
8,726105.236126,12732.000000,19404.154194
16,17873338.310302,309651.000000,780372.165763
32,17868224.256931,308549.000000,876365.688895
64,755214.974499,12844.000000,42723.726242
128,18173885.556570,312368.000000,1225014.940696
256,18547614.380084,319759.000000,2831929.313179
512,1040242.321796,19160.000000,116741.477599
1024,35291622.291420,611016.000000,6384664.677558
2048,35903058.346869,620743.000000,814303.233382
4096,35203248.230520,605360.000000,3572271.929241
8192,1282092.913309,24392.000000,712844.062468
16384,35554081.922693,627710.000000,13688974.000054
32768,1515852.624520,25083.000000,648048.385359
65536,36931949.019541,648368.000000,13999053.746440
