frequency,FCFS_L2_norm_flow_time,FCFS_maximum_flow_time,FCFS_longest_H_L2_norm
2,17597751.370287,304194.000000,11869.545863
4,17685641.281954,307490.000000,798202.873883
8,296305.364754,7336.000000,4656.118126
16,18236792.305421,314871.000000,765539.058087
32,34917637.268693,607303.000000,1034235.638381
64,18344487.896219,317787.000000,915891.963593
128,35948903.638479,619953.000000,1675922.499598
256,18418780.040075,318242.000000,2340145.555576
512,36033538.346053,621364.000000,4558599.701088
1024,35481571.555028,616741.000000,6876642.957712
2048,18365039.828487,317307.000000,4769816.256421
4096,17974470.353706,311587.000000,1558751.776640
8192,19281226.145977,333180.000000,3899285.293152
16384,956946.826735,17232.000000,227857.320332
32768,35577784.898312,618052.000000,21997112.358281
65536,1402284.343745,26022.000000,806463.517095
