frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,33673885.551689,891316.000000,523869.519376
4,19099706.963148,598898.000000,257340.210249
8,18819228.183957,601389.000000,252955.028794
16,34309152.014607,888341.000000,1150668.376828
32,19280935.482065,602950.000000,50596.875556
64,934190.545578,38695.000000,1410.762560
128,34266704.895877,895694.000000,2353068.999130
256,1137873.564704,42475.000000,51461.990789
512,19441651.026696,595259.000000,1297552.641544
1024,34591469.360985,892878.000000,3777193.366913
2048,34904766.582393,888382.000000,8236976.979333
4096,19663228.587262,589846.000000,4653334.658051
8192,20529582.913289,596104.000000,6953159.869414
16384,21215873.631827,592062.000000,9541002.705504
32768,33665322.114246,903791.000000,11927311.024165
65536,21234780.320608,574374.000000,20273964.933282
