frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,875056.917675,38160.000000,0.000000
4,33815680.675685,893789.000000,0.000000
8,34293146.290852,891448.000000,0.000000
16,34361538.593371,891922.000000,0.000000
32,983125.686461,40471.000000,0.000000
64,19081553.151060,589764.000000,0.000000
128,968188.946896,42337.000000,0.000000
256,19611135.837565,603374.000000,0.000000
512,949534.291309,41402.000000,0.000000
1024,34576001.049059,894881.000000,0.000000
2048,19583329.308654,600642.000000,0.000000
4096,19801829.314854,592971.000000,0.000000
8192,18933555.769907,601930.000000,0.000000
16384,1505262.195264,98522.000000,0.000000
32768,18053121.475042,576876.000000,0.000000
65536,21968131.460429,595326.000000,0.000000
