frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,479505.311216,40011.000000,1881.786651
4,34466835.160060,890565.000000,460595.860261
8,18881663.360382,601006.000000,296582.256453
16,18753754.374110,589455.000000,253608.001615
32,34536263.452749,893664.000000,1138158.352302
64,34687026.306570,890262.000000,1769978.724926
128,987043.737205,41897.000000,1462.355976
256,34737809.960270,896478.000000,3512139.971456
512,19301720.575380,598930.000000,1876498.517859
1024,19578694.401536,584423.000000,2102912.728266
2048,34942715.239840,897536.000000,4995714.098001
4096,19602440.061331,600206.000000,5036046.261974
8192,17289388.286138,583658.000000,1917752.103264
16384,33991283.518060,904081.000000,6620227.626284
32768,17807747.251130,558857.000000,7100059.422931
65536,2614659.945745,175517.000000,2136683.415253
