frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,34123482.465513,897102.000000,1017591.583600
4,18693187.107449,586831.000000,102891.790571
8,906723.776631,41867.000000,31173.179803
16,18879517.432997,595995.000000,826216.433815
32,18982317.808950,601022.000000,473681.666073
64,958970.743433,38631.000000,28118.487264
128,19165118.474244,594731.000000,933620.971443
256,19351808.446633,596005.000000,1105839.451649
512,1116470.969838,53505.000000,144638.055335
1024,34362619.897203,891767.000000,4901003.263664
2048,34692758.160085,887544.000000,8692393.222133
4096,34404065.890996,884281.000000,6963168.541345
8192,1412586.712274,110946.000000,1013870.788607
16384,34553717.561169,885771.000000,8195375.891811
32768,1454385.478423,88665.000000,726282.567148
65536,36785567.567404,891544.000000,21549911.251710
