frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,41763883.247281194,1804504
4,772507.1184681731,658595
8,42679334.069854125,1600246
16,43805130.34589236,1629251
32,1194808.5360060832,579329
64,613422.4840230426,469594
128,41744414.42321582,1729630
256,42279642.55872655,1733258
512,47383352.93071207,1663737
1024,44635797.07628316,1457203
2048,24634647.748504464,1020638
4096,35914326.2037911,1633777
8192,782208.3927400677,576425
16384,1476051.700724944,560542
32768,545069.2959477721,478803
65536,432595.10775088525,366609
