frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time
2,368045.6807598752,305113
4,21730620.790313516,1069222
8,21361603.854261152,1144912
16,340487.61663678754,256281
32,23345115.15182174,989765
64,482201.60202761664,251652
128,22396342.32220496,1085904
256,42836094.24193074,1620861
512,622596.5093814774,472184
1024,22989657.447354756,1178144
2048,21250584.050106198,1090669
4096,1061371.2735979808,533257
8192,22379380.370823115,1029361
16384,35053744.77850097,1046207
32768,3243720.6810269593,372312
65536,9121843.702612208,1125688
